,model,feats,body_part,interp,emotion,shuffle,fold,epoch,p,p_std,r,r_std,f,f_std,acc,acc_std
1497,BiLSTM,brute,full-hh,False,surprise,False,3,98,0.45768025078369906,,0.08124652198107958,,0.13799621928166353,,[0.51411827],
1498,BiLSTM,brute,full-hh,False,surprise,False,4,98,0.0,,0.0,,0.0,,[0.83867785],
1499,BiLSTM,brute,full-hh,False,surprise,False,5,98,0.15789473684210525,,0.3039647577092511,,0.2078313253012048,,[0.8200479],
1500,BiLSTM,brute,full-hh,False,surprise,False,6,98,0.35714285714285715,,0.09036144578313253,,0.14423076923076925,,[0.74498567],
1501,BiLSTM,brute,full-hh,False,surprise,False,7,98,0.07474518686296716,,0.5076923076923077,,0.13030602171767028,,[0.78040877],
1502,BiLSTM,brute,full-hh,False,surprise,False,average,98,0.23295969763898727,0.15685737175640496,0.21188403966778047,0.18261381541894411,0.16335289771933895,0.10534938494269212,0.7499351449863274,0.0973305738492961
1503,BiLSTM,brute,hands,False,surprise,False,0,98,0.7058823529411765,,0.176759410801964,,0.28272251308900526,,[0.82928349],
1504,BiLSTM,brute,hands,False,surprise,False,1,98,0.375,,0.031150159744408944,,0.05752212389380531,,[0.73496474],
1505,BiLSTM,brute,hands,False,surprise,False,2,98,0.23006134969325154,,0.2798507462686567,,0.25252525252525254,,[0.82830626],
1506,BiLSTM,brute,hands,False,surprise,False,3,98,0.5072463768115942,,0.038953811908736785,,0.07235142118863049,,[0.52184337],
1507,BiLSTM,brute,hands,False,surprise,False,4,98,0.0,,0.0,,0.0,,[0.89639862],
1508,BiLSTM,brute,hands,False,surprise,False,5,98,0.04198473282442748,,0.048458149779735685,,0.044989775051124746,,[0.84023264],
1509,BiLSTM,brute,hands,False,surprise,False,6,98,0.36923076923076925,,0.07228915662650602,,0.12090680100755667,,[0.75],
1510,BiLSTM,brute,hands,False,surprise,False,7,98,0.0,,0.0,,0.0,,[0.87587238],
1511,BiLSTM,brute,hands,False,surprise,False,average,98,0.2786756976876524,0.24133351675855855,0.08093267939125101,0.09166596090341793,0.10387723584442188,0.10158939341239367,0.7846126880990826,0.1121011187166287
1512,rand,no-input,,False,happiness,False,0,0,0.3413400758533502,,0.24324324324324326,,0.2840610205155181,,[0.57601246],
1513,rand,no-input,,False,happiness,False,1,0,0.028671328671328673,,0.29285714285714287,,0.05222929936305733,,[0.69141435],
1514,rand,no-input,,False,happiness,False,2,0,0.4379905808477237,,0.2540983606557377,,0.3216138328530259,,[0.54485692],
1515,rand,no-input,,False,happiness,False,3,0,0.3942857142857143,,0.22877984084880637,,0.2895509861519094,,[0.54901438],
1516,rand,no-input,,False,happiness,False,4,0,0.1888045540796964,,0.2518987341772152,,0.2158351409978308,,[0.64331524],
1517,rand,no-input,,False,happiness,False,5,0,0.38791286015460297,,0.25758282781147923,,0.30959057767807063,,[0.57885734],
1518,rand,no-input,,False,happiness,False,6,0,0.5072886297376094,,0.2514450867052023,,0.33623188405797105,,[0.50787966],
1519,rand,no-input,,False,happiness,False,7,0,0.09705372616984402,,0.30601092896174864,,0.14736842105263157,,[0.67696909],
1520,rand,no-input,,False,happiness,False,average,0,0.2979184337249837,0.161041006806637,0.26073952065757194,0.02404994450725555,0.24456014533375184,0.09315104798405233,0.5960399312413682,0.06243040320836938
1521,rand,no-input,,False,sadness,False,0,0,0.24361702127659574,,0.3271428571428571,,0.2792682926829268,,[0.6317757],
1522,rand,no-input,,False,sadness,False,1,0,0.4147350993377483,,0.24594992636229748,,0.3087827426810478,,[0.53484032],
1523,rand,no-input,,False,sadness,False,2,0,0.0,,0.0,,0.0,,[0.69218871],
1524,rand,no-input,,False,sadness,False,3,0,0.1958955223880597,,0.2681992337164751,,0.22641509433962265,,[0.61774108],
1525,rand,no-input,,False,sadness,False,4,0,0.5520945220193341,,0.22783687943262412,,0.3225604016316285,,[0.46743957],
1526,rand,no-input,,False,sadness,False,5,0,0.3811659192825112,,0.25514579759862777,,0.3056768558951965,,[0.53763257],
1527,rand,no-input,,False,sadness,False,6,0,0.0,,0.0,,0.0,,[0.69340974],
