,model,feats,body_part,interp,emotion,fold,epoch,p,p_std,r,r_std,f,f_std,acc,acc_std
428,JointBiLSTM,brute,hands,True,anger,5,52,0.278642936596218,,0.6231343283582089,,0.38508839354342816,,[0.72630859],
429,JointBiLSTM,brute,hands,True,anger,6,52,0.38684719535783363,,0.8264462809917356,,0.5270092226613965,,[0.74283668],
430,JointBiLSTM,brute,hands,True,anger,7,52,0.3373737373737374,,0.05921985815602837,,0.10075414781297135,,[0.25697906],
431,JointBiLSTM,brute,hands,True,anger,average,52,0.4009050805648391,0.19188743631815547,0.4162577958470261,0.3290145848503754,0.3434347151064929,0.20671244032143415,0.6531511587839777,0.16540763261643163
432,JointBiLSTM,brute,full-hh,True,anger,0,52,0.3883495145631068,,0.5161290322580645,,0.44321329639889195,,[0.62429907],
433,JointBiLSTM,brute,full-hh,True,anger,1,52,0.4965753424657534,,0.2939189189189189,,0.36926994906621385,,[0.69182912],
434,JointBiLSTM,brute,full-hh,True,anger,2,52,0.7377049180327869,,0.18262987012987014,,0.29277813923227064,,[0.57965971],
435,JointBiLSTM,brute,full-hh,True,anger,3,52,0.34069400630914826,,0.6934189406099518,,0.45690111052353255,,[0.72642515],
436,JointBiLSTM,brute,full-hh,True,anger,4,52,0.3826615129762562,,0.5405616224648986,,0.4481086323957323,,[0.57893439],
437,JointBiLSTM,brute,full-hh,True,anger,5,52,0.35156638488314274,,0.8793532338308457,,0.5023090586145648,,[0.76034896],
438,JointBiLSTM,brute,full-hh,True,anger,6,52,0.4095427435387674,,0.8512396694214877,,0.5530201342281879,,[0.76146132],
439,JointBiLSTM,brute,full-hh,True,anger,7,52,0.4796747967479675,,0.14645390070921985,,0.22439554468894318,,[0.28838485],
440,JointBiLSTM,brute,full-hh,True,anger,average,52,0.4483461524396162,0.12114614876534649,0.5129631485429071,0.26773078099892894,0.41124948314354215,0.10220521760364916,0.6264178175560506,0.1454158594813656
441,JointBiLSTM,brute,hands,True,happiness,0,33,0.7339181286549707,,0.22612612612612612,,0.34573002754820936,,[0.70404984],
442,JointBiLSTM,brute,hands,True,happiness,1,33,0.08156498673740054,,0.8785714285714286,,0.1492718446601942,,[0.70924927],
443,JointBiLSTM,brute,hands,True,happiness,2,33,0.16770186335403728,,0.07377049180327869,,0.10246679316888047,,[0.4512761],
444,JointBiLSTM,brute,hands,True,happiness,3,33,0.6388888888888888,,0.3812997347480106,,0.47757475083056466,,[0.66489078],
445,JointBiLSTM,brute,hands,True,happiness,4,33,0.21753986332574032,,0.2417721518987342,,0.22901678657074342,,[0.68278244],
446,JointBiLSTM,brute,hands,True,happiness,5,33,0.6408364083640836,,0.243117125524965,,0.3525033829499324,,[0.67259665],
447,JointBiLSTM,brute,hands,True,happiness,6,33,0.2,,0.028901734104046242,,0.05050505050505051,,[0.46131805],
448,JointBiLSTM,brute,hands,True,happiness,7,33,0.21831869510664995,,0.47540983606557374,,0.2992261392949269,,[0.79685942],
449,JointBiLSTM,brute,hands,True,happiness,average,33,0.3623461043039714,0.24415465041846326,0.31862107860527034,0.25152205469037553,0.25078684694106274,0.13510664638860917,0.6428778201674663,0.11428738210885142
450,JointBiLSTM,brute,head,True,happiness,0,33,0.6690777576853526,,0.3333333333333333,,0.4449789536981359,,[0.71246106],
451,JointBiLSTM,brute,head,True,happiness,1,33,0.05725403001667593,,0.7357142857142858,,0.10624033006704486,,[0.64060556],
452,JointBiLSTM,brute,head,True,happiness,2,33,0.23495145631067962,,0.11020036429872496,,0.1500309981401116,,[0.46983759],
453,JointBiLSTM,brute,head,True,happiness,3,33,0.7465069860279441,,0.4960212201591512,,0.5960159362549801,,[0.72988812],
454,JointBiLSTM,brute,head,True,happiness,4,33,0.0625,,0.09113924050632911,,0.07415036045314109,,[0.55648742],
455,JointBiLSTM,brute,head,True,happiness,5,33,0.7182620502376104,,0.49370041997200187,,0.5851769911504424,,[0.7434143],
456,JointBiLSTM,brute,head,True,happiness,6,33,0.45323741007194246,,0.09104046242774566,,0.15162454873646208,,[0.49498567],
457,JointBiLSTM,brute,head,True,happiness,7,33,0.0938337801608579,,0.28688524590163933,,0.14141414141414138,,[0.68220339],
458,JointBiLSTM,brute,head,True,happiness,average,33,0.3794529338138829,0.28407245025549255,0.3297543215391514,0.21888994604043394,0.2812040324893074,0.20777098589328213,0.6287353883484633,0.10108790135495681
459,JointBiLSTM,brute,full,True,happiness,0,33,0.6372670807453417,,0.46216216216216216,,0.5357702349869451,,[0.72305296],
460,JointBiLSTM,brute,full,True,happiness,1,33,0.037815126050420166,,0.5785714285714286,,0.07099035933391762,,[0.5603484],
461,JointBiLSTM,brute,full,True,happiness,2,33,0.4460285132382892,,0.3989071038251366,,0.4211538461538461,,[0.53441609],
462,JointBiLSTM,brute,full,True,happiness,3,33,0.6655629139072847,,0.666445623342175,,0.6660039761431411,,[0.73148641],
463,JointBiLSTM,brute,full,True,happiness,4,33,0.13662790697674418,,0.1189873417721519,,0.12719891745602166,,[0.68179576],
464,JointBiLSTM,brute,full,True,happiness,5,33,0.6348940914158305,,0.5314979001399907,,0.5786131572263145,,[0.71621622],
465,JointBiLSTM,brute,full,True,happiness,6,33,0.8880407124681934,,0.5043352601156069,,0.6433179723502304,,[0.72277937],
466,JointBiLSTM,brute,full,True,happiness,7,33,0.1325102880658436,,0.43989071038251365,,0.2036685641998735,,[0.68619143],
467,JointBiLSTM,brute,full,True,happiness,average,33,0.4473433291084934,0.2907875697762764,0.46259969128889566,0.15171252026240528,0.40583962848128624,0.22407767897756625,0.6695358290760709,0.07273483085548617
